Message,Extracted,Expected
"Your Jio Delivery Code is 211326. Please share this with our representative only AFTER receiving your Jio Product and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by RAJAT KUMAR (Mob-8427994640). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,211326
229247 Flipkart code valid 10 minutes. share OTP anyone. 862477,862477,229247
133202 Flipkart code valid 10 minutes. share OTP anyone. 862477,862477,133202
1842 is otp for your ATM Cash WDL TXN through ATMID S1BJ001312065 of Rs.10000 from SBI Acct 7069.Do not share with anyone. Download YONO@ www.yonosbi.com,7069,1842
Dear Sunil Kumar successfully vaccinated 1st Dose COVISHIELD 18-12-2021 01:51 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Sunil Kumar successfully vaccinated 2nd Dose COVISHIELD 27-04-2022 10:27 AM. may download vaccination Certificate - - CoWIN,2022,nan
Mobile Banking Registration started. initiated report immediately Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details anyone - Canara Bank.,4250,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5CR Entry Fees - Win -,25000000,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,25000000,nan
Dear Sucha Singh successfully vaccinated 1st Dose COVISHIELD 10-05-2021 01:13 PM. may download vaccination Certificate - - CoWIN,2021,nan
"CMR Akshaya Tritiya Gold Offer, Up to 50% Off On Gold V.A,No Making,No V.A on Silver, lowest Gold Rate Only at CMR Shopping Mall, Nizampet. PH: 040 23898880",23898880,nan
"LAST 3 DAYS to Get Rs.4000/2000 FREE Shopping on spend of Rs.6999/3999

Extra 10% OFF on RuPay Cards. CENTRAL Celebrates Festival of colors. TnC bit.ly/4Smp8",2000,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/MXx8XP4",1000,nan
a/c XXXXXXXXXXXX8571 debited Rs. 1300.00 2/28/2022 10:12:26 PM GOPINATH . info :P2A/205916770412 -KVB,2022,nan
Dear Vimla Mishra successfully vaccinated 1st Dose COVISHIELD 18-05-2021 02:06 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Swati successfully vaccinated 2nd Dose COVISHIELD 09-02-2022 07:49 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Shivani successfully vaccinated 1st Dose CORBEVAX 06-05-2022 03:18 PM. may download vaccination Certificate - - CoWIN,2022,nan
01/5/2022 18:35 Avail Bal A/c xxx289: Rs. 47.48 CR -SBI,2022,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 09.39.19. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 235). Keep the product ready with all accessories and tags for verification.",2028,nan
"Fuel Prices surging but at PETER ENGLAND, we have Fashion Prices to Cool you Down! Visit our Exclusive stores to avail FREE Rs.1000 shopping on purchase of Rs.4999. Valid till 30 Apr & enjoy the Latest Summer Collection! TC.",4999,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/nVQjlwY",1000,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/Dry1517",1000,nan
INR 320 debited A/c 2533 ATM POS/84572793/22:19:18/21032290 Bal 250174.6713-04-2022 22:19:21. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,21032290,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 09.39.28. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
BOI -  Txn on Debit card X4550 for Rs.500 on 08-04-2022 at ATM DIGHORI NAKA NAGPUR MHIN is declined due to incorrect PIN.,2022,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 09.39.50. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 239). Keep the product ready with all accessories and tags for verification.",2028,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 11.08.25. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
"Dear Member, Sunshine Days of Happiness @CENTRAL ,16-18 Apr

Get Rs.2000/Rs.3000/Rs.5000 Back on Shopping of Rs.5999/Rs.7999/Rs.13999, As Future Pay Cash TnC",3000,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-04-30 08.24.57. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-04-01 09.20.55. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 884410 delivery partner confirmation status. - Shadowfax,7932,884410
"Make heads turn this Wedding Season, with PETER ENGLAND's Premium Collection of Suits & Blazers only at Hanuman Road Shamli Store. Also, Get FREE Rs.2000 shopping on purchase of Rs.6999 Valid till 31March.TC.",6999,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-04-14 18.16.38. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Dear Sir/Maam physical visit done address. offer money/share photos via WhatsApp verification. Please feel free call us 022-41685008 / 022-69050816 IDfy,69050816,nan
Dear Ramdas Jaipal Tembhekar successfully vaccinated 2nd Dose COVISHIELD 02-09-2021 12:27 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 1st Dose COVISHIELD 04-08-2021 11:19 AM. may download vaccination Certificate - - CoWIN,2021,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 674752. share anyone.,459113,674752
Dear Sandeep successfully vaccinated 2nd Dose COVAXIN 15-02-2022 03:25 PM. may download vaccination Certificate - - CoWIN,2022,nan
OTP creating Health ID 182810. One Time Password valid 10 mins. NHA,nan,182810
Blue Dart Secure Delivery Code 817888 valid next 30 minutes. Enter Delivery Code device receive package.,nan,817888
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/NGENwVN",1000,nan
Blue Dart Secure Delivery Code 497568 valid next 30 minutes. Enter Delivery Code device receive package.,nan,497568
"Imp Info: Did you know that IIFL securities demat account offers Multiple tools like options strategy builder, algo trading, advanced prebuilt Screeners etc for ease of trading. Open account today & Get Free Shopping vourchers worth Rs. 5000/- Click https://cutt.ly/ETySIwg  IIFLSL",5000,nan
"Dear Customer,
Our Customer Care no. is 1800-419-8300 
Never share OTP/PIN/Password/Card No./CVV/ Expiry Date with anyone.
-Punjab & Sind Bank",4198300,nan
818034 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,818034,nan
We have received request for setting MPIN for your a/c XX5823 linked to VPA gp209610@okaxis on 2022-05-07 11.09.42. Dispute? call 18004251809-South Indian Bank,2022,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/4mUio5 CCARDD",4000,nan
Blue Dart Secure Delivery Code 752674 valid next 30 minutes. Enter Delivery Code device receive package.,nan,752674
7793 is otp for your ATM Cash WDL TXN through ATMID S5NL013358621 of Rs.10000 from SBI Acct 2483.Do not share with anyone. Download YONO@ www.yonosbi.com,2483,7793
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-22 22.49.59. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-28 12.11.01. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
"Hi Sp davawala,

Over 20,000+ customers in 18+ cities have trusted SellRight by Spinny to sell their cars.

And You're just a step away from getting the best price for your 2018 Maruti Suzuki Eeco.


Wait no more!


Book a Free doorstep evaluation today. Click Here weurl.co/ikTbIN Or Call 727 727 7275.",727727,nan
"Weekend  Dhamaka at V2 Retail!! Buy Rs. 999/- & get Chance to win T.V, Freeze & Washing Machine. Get  Rs.1000  shopping free on bill of Rs 1999 & above, Get worth Rs 5000 Duffle bag free on bill of Rs 4999 & above.T&C*",1999,nan
ICICI Bank Acct XX224 debited for Rs 180.00 on 27-Nov-21; BHUPINDER KUMAR S O SANT  credited. UPI:133181398881. Call 18002662 for dispute. SMS BLOCK 224 to 9215676766.,18002662,nan
"Welcome to Jio Payments Bank! mPIN setup complete. Use it to access your account and authorise transactions. For queries, call on 1800 891 9999.",8919999,nan
otp for online purchase of Rs. 1000.00 at One97 Communications thru State Bank Debit Card 4591*****13 is 861719. Do not share this with anyone.,4591,861719
9944 is otp for your ATM Cash WDL TXN through ATMID S5NL013358621 of Rs.20000 from SBI Acct 2483.Do not share with anyone. Download YONO@ www.yonosbi.com,2483,9944
Rs.1567.00 Credited SB-xxx3548 AcBal:420994.00 CLRBal: 1644.00 NEFT-SCBL- GOBICHETTIPALAYAM 04-05-2022 16:19:05.IOB.,420994,nan
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 260739 delivery partner confirmation status. - Shadowfax,6292,260739
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 690277 delivery partner confirmation status. - Shadowfax,5985,690277
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/tuBSJ9 CCARDD",4000,nan
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 600549 delivery partner confirmation status. - Shadowfax,9165,600549
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 971248 delivery partner confirmation status. - Shadowfax,9165,971248
OTP for online purchase of Rs. 1000.00 at One97 Communications thru State Bank Debit Card 4591*****13 is 861719. Do not share this with anyone.,4591,861719
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 742584. Do not share this with anyone.,5446,742584
otp for forgot password recovery of user id **rthi0 is 636720-IRCTC,nan,636720
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 541662. Do not share this with anyone.,4591,541662
900330 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,900330,nan
otp to validate mobile no. for Amazon Pay ICICI Bank Credit Card application is 434890. otps are SECRET. DO NOT disclose it to anyone.Bank NEVER asks for otp.,nan,434890
3838 is otp for your ATM Cash WDL TXN through ATMID S1BJ001312065 of Rs.15000 from SBI Acct 7069.Do not share with anyone. Download YONO@ www.yonosbi.com,7069,3838
1842 is otp for your ATM Cash WDL TXN through ATMID S1BJ001312065 of Rs.10000 from SBI Acct 7069.Do not share with anyone. Download YONO@ www.yonosbi.com,7069,1842
Arriving Today: Srinu order partner 917314821043 PIN 6183. Track opt contactless //track/7A5BBC08E18BE3E2E14A4D8C055A5E7D/Fwd/ .Please share delivery code 6410 delivery partner confirmation status. - Shadowfax,6183,6410
Dear Delivery Partner FE1276338 confirmation OTP selecting New year special rate card 1532139 Please share OTP anyone. -ZOMATO,nan,1532139
Arriving Today: Srinu order partner 914071153148 PIN 7115. Track opt contactless //track/1E630401F76857C3224A30DF48623219/Fwd/ .Please share delivery code 504358 delivery partner confirmation status. - Shadowfax,7115,504358
Arriving Today: Srinu order partner 917314821043 PIN 6183. Track opt contactless //track/7A5BBC08E18BE3E2E14A4D8C055A5E7D/Fwd/ .Please share delivery code 736143 delivery partner confirmation status. - Shadowfax,6183,736143
Arriving Today: Srinu order partner 914071153148 PIN 7115. Track opt contactless //track/1E630401F76857C3224A30DF48623219/Fwd/ .Please share delivery code 942750 delivery partner confirmation status. - Shadowfax,7115,942750
Arriving Today: Srinu order partner 917314821043 PIN 6183. Track opt contactless //track/7A5BBC08E18BE3E2E14A4D8C055A5E7D/Fwd/ .Please share delivery code 112989 delivery partner confirmation status. - Shadowfax,6183,112989
Arriving Today: Your Srinu order with partner 917314821043 PIN 6183. Track and opt for contactless delivery:https://tracker.shadowfax.in/#/track/7A5BBC08E18BE3E2E14A4D8C055A5E7D/Fwd/ .Please share the delivery code 6410 with the delivery partner for confirmation on status. - Shadowfax,6183,6410
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 09.40.02. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Arriving Today: Srinu order partner 914071153148 PIN 7115. Track opt contactless //track/1E630401F76857C3224A30DF48623219/Fwd/ .Please share delivery code 4662 delivery partner confirmation status. - Shadowfax,7115,4662
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 252). Keep the product ready with all accessories and tags for verification.",2028,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 383199 2.5CR Entry Fees - Win -,383199,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 704414 RS. 316202 A/C NO. XXXX9420 964556. DO NOT SHARE.",316202,964556
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 316656 delivery partner confirmation status. - Shadowfax,7932,316656
BharatPe Card: 0453 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,0453
BharatPe Card: 4582 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,4582
otp for online purchase of Rs. 14000.00 at GURU KASHI UNIVERSIT thru State Bank Debit Card 5446*****63 is 372595. Do not share this with anyone.,5446,372595
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 861719. share anyone.,459113,861719
Arriving Today: Imran order partner 914461710281 PIN 1134. Track opt contactless /R4DEA6 .Please share delivery code 7174 delivery partner confirmation status. - Shadowfax,1134,7174
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 541662. share anyone.,459113,541662
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 885937. share anyone.,459113,885937
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 144009. share anyone.,459113,144009
Slot Booking/Cancellation for Application: 236315,236315,nan
OTP for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 541662. Do not share this with anyone.,4591,541662
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/MXx8XP4",1000,nan
"Dear Customer, otp for your NACH E-Mandate registration through Debit Card is 519899-Canara Bank.",nan,519899
Slot Booking/Cancellation for Application: 168384,168384,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 372208 Entry Fees - Win -,372208,nan
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 674752. Do not share this with anyone.,4591,674752
Slot Booking/Cancellation for Application: 703826,703826,nan
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,1699,nan
otp for forgot password recovery of user id **rthi0 is 971458-IRCTC,nan,971458
a/c XXXXXXXXXXXX8571 debited Rs. 1300.00 2/28/2022 10:12:26 PM GOPINATH . info :P2A/205916770412 -KVB,2022,nan
We have received request for setting MPIN for your a/c XX5823 linked to VPA gp209610@okaxis on 2022-05-07 11.09.19. Dispute? call 18004251809-South Indian Bank,2022,nan
otp for forgot password recovery of user id **rthi0 is 411551-IRCTC,nan,411551
01/5/2022 18:35 Avail Bal A/c xxx289: Rs. 47.48 CR -SBI,2022,nan
Dear Sucha Singh successfully vaccinated 1st Dose COVISHIELD 10-05-2021 01:13 PM. may download vaccination Certificate - - CoWIN,2021,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,25000000,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5CR Entry Fees - Win -,25000000,nan
"CMR Akshaya Tritiya Gold Offer, Up to 50% Off On Gold V.A,No Making,No V.A on Silver, lowest Gold Rate Only at CMR Shopping Mall, Nizampet. PH: 040 23898880",23898880,nan
000000 is the otp for your mobile verification on Yatra. This otp will be valid for 15 minutes. -Yatra,nan,000000
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/B6BY4qP",1000,nan
Dear Paras successfully vaccinated 2nd Dose COVAXIN 10-02-2022 12:53 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Ramdas Jaipal Tembhekar successfully vaccinated 2nd Dose COVISHIELD 02-09-2021 12:27 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Sandeep successfully vaccinated 1st Dose COVAXIN 23-09-2021 05:14 PM. may download vaccination Certificate - - CoWIN,2021,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 674752. share anyone.,459113,674752
000000 is the otp for your mobile verification on Yatra. This otp will be valid for 15 minutes. -Yatra,nan,000000
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/B6BY4qP",1000,nan
Dear Sir/Maam physical visit done address. offer money/share photos via WhatsApp verification. Please feel free call us 022-41685008 / 022-69050816 IDfy,69050816,nan
Dear Savita Chaudhary successfully vaccinated 2nd Dose COVISHIELD 21-10-2021 12:00 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Sunil Kumar successfully vaccinated 2nd Dose COVISHIELD 27-04-2022 10:27 AM. may download vaccination Certificate - - CoWIN,2022,nan
"Mobile Banking Registration started. If not initiated by you, report immediately to Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details to anyone - Canara Bank.",4250,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
Ecom Express Executive 08046809000 PIN 37225 will deliver your https://shopee/ AWB 9116374275 today. Rs 105.0 payable. Delivery code 557210,37225,557210
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/Dry1517",1000,nan
FB-180952 Facebook confirmation code 53158,53158,180952
otp for creating your Health ID is 669802. This One Time Password will be valid for 10 mins.NHA,nan,669802
Mobile Banking Registration started. initiated report immediately Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details anyone - Canara Bank.,4250,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/qoVGm62",1000,nan
"Dear Customer, otp for your NACH E-Mandate registration through Debit Card is 519899-Canara Bank.",nan,519899
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 09.39.50. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 678359:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,678359,nan
Rs.1567.00 Credited SB-xxx3548 AcBal:420994.00 CLRBal: 1644.00 NEFT-SCBL- GOBICHETTIPALAYAM 04-05-2022 16:19:05.IOB.,420994,nan
"Hi Sp davawala,


As you were looking for a price offer on your 2018 Maruti Suzuki Eeco with SellRight, we'd like you to know that you can avail of your FREE DOORSTEP EVALUATION whenever you like. All you need to do is click here - weurl.co/ika5f4


SellRight by Spinny",2018,nan
Jio Delivery Code 561340. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,561340
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 383199 2.5CR Entry Fees - Win -,383199,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 129685.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,20972294,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 674752. share anyone.,459113,674752
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 674752. share anyone.,459113,674752
Shadowfax rider 914461710281 PIN 5728 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 7229 Visit https://tracker.shadowfax.in,5728,7229
Slot Booking/Cancellation for Application: 832752,832752,nan
"LAST 2DAYS of FREE SHOPPING WEEK at CENTRAL

SHOP for Rs.3000 & GET Rs.3000 BACK TnC bit.ly/3rLi8kj

Rs500 OFF 598461815585 on Rs5999 + 10% OFF ICICI Bank cards",3000,nan
Dear Swati successfully vaccinated 2nd Dose COVISHIELD 09-02-2022 07:49 PM. may download vaccination Certificate - - CoWIN,2022,nan
otp for mobile no verification of user id Karthi189 is 772651-IRCTC,nan,772651
BharatPe Card: 4582 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,4582
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 742584. Do not share this with anyone.,5446,742584
FB-180952 Facebook confirmation code 53158,53158,180952
Shadowfax rider 914461710281 PIN 6826 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 1383 Visit https://tracker.shadowfax.in,6826,1383
"BAZAR INDIA EXTRA FREE SHOPPING FESTIVAL

FREE 250/600/1000 SHOPPING ON 1000/2000/3000.

ALSO GET FREE SHOPPING VOUCHERS WORTH 2000. TCA

9949098465",1000,nan
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 2744 delivery partner confirmation status. - Shadowfax,5985,2744
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 291391:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,291391,nan
Dear Saroj eligible may avail precaution dose private vaccination center 21-04-2022. Please visit CoWIN,2022,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/XP31JPk",1000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 129). Keep the product ready with all accessories and tags for verification.",33000,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 11.08.25. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Dear Saroj eligible may avail precaution dose private vaccination center 21-04-2022. Please visit CoWIN,2022,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 2nd Dose COVISHIELD 18-11-2021 02:35 PM. may download vaccination Certificate - - CoWIN,2021,nan
963979 Flipkart code valid 10 minutes. share OTP anyone. 546959,546959,963979
"Dear Customer, reset MPIN request @CANDI has been failed due to 13-Apr-2022 on 22:00:09. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank",56161,nan
Dear Sucha Singh successfully vaccinated 1st Dose COVISHIELD 10-05-2021 01:13 PM. may download vaccination Certificate - - CoWIN,2021,nan
937732 Flipkart code valid 10 minutes. share OTP anyone. 323964,323964,937732
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,205000,nan
otp for Online Txn INR 352.82 at PAYTM on Indian Bank Debit card ending 4988 is 629806. Valid for 3min. Dt 07-04-2022 11:47:06. Do Not Disclose.,4988,629806
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 9825 delivery partner confirmation status. - Shadowfax,6292,9825
"Your a/c XXXXXXXXXXXX8571 is debited Rs. 1300.00 on 2/28/2022 10:12:26 PM to GOPINATH S .
info :P2A/205916770412 -KVB",2022,nan
"Your Jio Delivery Code is 211326. Please share this with our representative only AFTER receiving your Jio Product and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Rohit kumar (Mob-8968117531). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,211326
Dear Pooja Jitendra Shambharkar successfully vaccinated 2nd Dose COVISHIELD 18-11-2021 02:35 PM. may download vaccination Certificate - - CoWIN,2021,nan
320234 Flipkart code valid 10 minutes. share OTP anyone. 368538,368538,320234
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 281353 delivery partner confirmation status. - Shadowfax,5985,281353
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,25000000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
